Категория;Наименование;Производитель;Модель;Цена;Количество
Мультипак;MP002 (4x100 Nissan, Subaru);Alutec;8 гаек D2, 2 кольца Z02;322192.00;3
Мультипак;MP004 (4x100 VW, Seat, Skoda);Alutec;8 болтов R15,2 кольца Z03;322192.00;2
Мультипак;MP005a (4x100 Fiat Grande Punto(Typ 199);Alutec;8 болтов R06,2 кольца Z04;322192.00;4
Мультипак;MP005 (4x100 Opel, Daewoo);Alutec;8 болтов R07,2 кольца Z04;322192.00;2
Мультипак;MP005 (4x100 Opel, Daewoo);Anzio;8 болтов R07,2 кольца Z04;322192.00;2
Мультипак;MP006 (4x100 Honda, Rover, Mitsubishi, Kia);Alutec;8 гаек D6, 2 кольца Z05;322192.00;4
Мультипак;MP008 (4x100 Hyundai,Kia,Mazda,Opel,Suzuki,Toyota);Alutec;8 гаек D6, 2 кольца Z06;322192.00;1
Мультипак;MP012 (4x108 Ford-Mazda 2);Alutec;8 гаек D6, без кольца;322192.00;4
Мультипак;MP012 (4x108 Ford-Mazda 2);Anzio;8 гаек D6, без кольца;322192.00;10
Мультипак;MP015b (4x98 Fiat Stilo);Alutec;8 болтов R01,2 кольца Z09;322192.00;10
Мультипак;MP015a (4x98 Fiat, Lancia, Alfa);Alutec;8 болтов R02,2 кольца Z09;322192.00;6
Мультипак;MP015 (4x98 Fiat, Lancia, Alfa, Seat);Alutec;8 болтов R04,2 кольца Z09;322192.00;12
Мультипак;MP018a (5x98 Alfa Romeo);Alutec;10 болтов R02, без кольца;322192.00;5
Мультипак;MP025 (4x114,3 Nissan);Alutec;8 гаек D2, 2 кольца Z11;322192.00;9
Мультипак;MP027 (4x114,3 Honda-Rover);Alutec;8 гаек D6, 2 кольца Z12;322192.00;7
Мультипак;MP033 (5x114,3 Toyota);Alutec;10 гаек D6, 2 кольца Z13;322192.00;1
Мультипак;MP033 (5x114,3 Toyota);Anzio;10 гаек D6, 2 кольца Z13;322192.00;3
Мультипак;MP035b (5x114,3 Suzuki SX4);Alutec;10 болт.R07, 2 кольца Z13;322192.00;>20
Мультипак;MP035a (5x114,3 Suzuki Vitara);Alutec;10 гаек D2, 2 кольца Z13;322192.00;12
Мультипак;MP035 (5x100 Toyota);Alutec;10 гаек D6, 2 кольца Z06;322192.00;6
Мультипак;MP035 (5x100 Toyota);Anzio;10 гаек D6, 2 кольца Z06;322192.00;8
Мультипак;MP037 (5x100 Audi-Chrysler-Skoda-Seat-VW);Alutec;10 болт.R14, 2 кольца Z03;322192.00;18
Мультипак;MP037 (5x100 Audi-Chrysler-Skoda-Seat-VW);Anzio;10 болт.R14, 2 кольца Z03;322192.00;4
Мультипак;MP043 (5x112 Mercedes);Alutec;10 болт.R15, 2 кольца Z15;322192.00;2
Мультипак;MP043 (5x112 Mercedes);Alutec;10 болт.R15, 2 кольца Z15;322192.00;>20
Мультипак;MP045 (5x112 Audi-Skoda-VW);Alutec;10 болт.R14, 2 кольца Z16;322192.00;5
Мультипак;MP045 (5x112 Audi-Skoda-VW);Anzio;10 болт.R14, 2 кольца Z16;322192.00;>20
Мультипак;MP046 (5x108 Citroen-Peugeot);Alutec;10 болт.R04, 2 кольца Z17;322192.00;12
Мультипак;MP047 (5x108 Renault);Alutec;10 болт.R14, 2 кольца Z13;322192.00;>20
Мультипак;MP051a (4x108 Citroen-Peugeot);Alutec;8 болтов R02;322192.00;11
Мультипак;MP051a (4x108 Citroen-Peugeot);Anzio;8 болтов R02;322192.00;4
Мультипак;MP053a (5x112 Audi-Mercedes);Alutec;10 болтов R10 сфера;322192.00;2
Мультипак;MP057 (LK 5x108 Volvo 850, S/V70 , 2 кольца Z 17);Alutec;2 кольца Z17;322192.00;5
Мультипак;MP061 (4x100 Suzuki, Opel);Alutec;8 гаек D02, 2 кольца Z06;322192.00;4
Мультипак;MP064a (Toyota, Lexus, Mitsubishi);Alutec;10 гаек D6;322192.00;10
Мультипак;MP064 (5x114,3 Honda, Rover Freelander);Alutec;10 гаек D6, 2 кольца Z12;322192.00;12
Мультипак;MP064 (5x114,3 Honda, Rover Freelander);Anzio;10 гаек D6, 2 кольца Z12;322192.00;4
Мультипак;MP065 (5x114,3 Nissan);Alutec;10 гаек D2, 2 кольца Z11;322192.00;11
Мультипак;MP065а (5x114,3 Subaru);Alutec;10 гаек D2, 2 кольца Z37;322192.00;8
Мультипак;MP067a (5x100 Subaru);Alutec;10 гаек D2;322192.00;8
Мультипак;MP067 (5x100 Subaru);Alutec;10 гаек D2, 2 кольца Z05;322192.00;>20
Мультипак;MP068 (5x100 Chrysler Neon, Voyager-Opel);Alutec;10 гаек D6, 2 кольца Z03;322192.00;10
Мультипак;MP072 (4 x100 Daewoo);Alutec;8 гаек D6, 2 кольца Z04;322192.00;10
Мультипак;MP074 (5 x 98, 5 x 110, 5 x 112);Alutec;10 болтов R14, без кольца;322192.00;2
Мультипак;MP073 (5 x100 Rover 75);Alutec;10 болтов R14,2кольца Z05;322192.00;2
Мультипак;MP075 (5x118-5x130 Fiat, Citroen, Peugeot, MB, VW);Alutec;10 болтов R16;322192.00;6
Мультипак;MP075a (5x108  Volvo);Alutec;10 болтов R16,2кольца Z34;322192.00;14
Мультипак;MP075b (5x108  Volvo);Alutec;2 кольца Z34;322192.00;8
Мультипак;MP075b (5x108  Volvo);Anzio;2 кольца Z34;322192.00;6
Мультипак;MP076 (5x130 Citroen, Fiat, Peugeot);Alutec;10 болтов R17;322192.00;16
Мультипак;MP077 (5x108 Volvo);Alutec;10 болт.R14, 2 кольца Z17;322192.00;10
Мультипак;MP077 (5x108 Volvo);Anzio;10 болт.R14, 2 кольца Z17;322192.00;8
Мультипак;MP078 (4x100 Kia, Subaru, Suzuki);Alutec;8 болтов R07,2 кольца Z06;322192.00;12
Мультипак;MP079а (5x108 Alfa, lancia);Alutec;10 болт.R01, 2 кольца Z35;322192.00;6
Мультипак;MP080a (5x110 Opel-Saab & 5x120 BMW);Alutec;10 болтов R07;322192.00;12
Мультипак;MP080a (5x110 Opel-Saab & 5x120 BMW);Anzio;10 болтов R07;322192.00;>20
Мультипак;MP080d (5x120 BMW);Alutec;10 болтов R18;322192.00;6
Мультипак;MP081 (5x112 Audi-Ford-Seat-Skoda-VW);Alutec;10 болт.R14, 2 кольца Z25;322192.00;4
Мультипак;MP082 (5x112 Mercedes);Alutec;10 болт.R15, 2 кольца Z24;322192.00;4
Мультипак;MP083 (5x112 Mercedes V-/S-/E-Klasse);Alutec;10 болт.R14, 2 кольца Z24;322192.00;2
Мультипак;MP084 (5x120 BMW 3er/5er/7er);Alutec;10 болт.R07, 2 кольца Z18;322192.00;11
Мультипак;MP084 (5x120 BMW 3er/5er/7er);Anzio;10 болт.R07, 2 кольца Z18;322192.00;6
Мультипак;MP084a (5x120 BMW (5D);Alutec;10 болтов R07,2кольца Z19;322192.00;8
Мультипак;MP084c (5x120 BMW 7er, 5er);Alutec;10 болтов R18,2кольца Z18;322192.00;12
Мультипак;MP084b (5x120 BMW X5 (X70);Alutec;10 болтов R18,2кольца Z19;322192.00;>20
Мультипак;MP092 (5x108 Renault);Alutec;10 болт.R14, 2 кольца Z23;322192.00;4
Мультипак;MP094 (5x114,3 Nissan, Renault);Alutec;10 гаек D2, 2 кольца Z21;322192.00;2
Мультипак;MP093 (5x114,3Mitsubishi, Mazda, Ford);Alutec;10 гаек D6, 2 кольца Z20;322192.00;2
Мультипак;MP095 (5x114,3 Honda);Alutec;10 гаек D6, 2 кольца Z22;322192.00;2
Мультипак;MP101 (5x108 Volvo 7er + 9er);Alutec;10 гаек D6, 2 кольца Z17;322192.00;6
Мультипак;MP105a (5x108 Ford S-Max/Galaxy);Alutec;10 гаек D13, 2 кольца Z34;322192.00;15
Мультипак;MP105a (5x108 Ford S-Max/Galaxy);Anzio;10 гаек D13, 2 кольца Z34;322192.00;6
Мультипак;MP105 (5x108 Ford, Jaguar, Volvo);Alutec;10 гаек D6, 2 кольца Z34;322192.00;7
Мультипак;MP107a (5x108 Ford S-Max/Galaxy);Alutec;10 гаек D13, 2 кольца Z29;322192.00;2
Мультипак;MP107 (5x108 Ford, Jaguar, Volvo);Alutec;10 гаек D6, 2 кольца Z29;322192.00;4
Мультипак;MP108a (5x108 Peugeot 607, Citroen C5, C6);Alutec;10 болт.R01, 2 кольца Z17;322192.00;2
Мультипак;MP108 (5x108 Peugeot 607);Alutec;10 болт.R02, 2 кольца Z17;322192.00;8
Мультипак;MP109 (5x108 Peugeot 607);Alutec;10 болт.R02, 2 кольца Z26;322192.00;2
Мультипак;MP109 (5x108 Peugeot 607);Alutec;10 болт.R02, 2 кольца Z26;322192.00;2
Мультипак;MP110b (Renault Megane);Alutec;10 болт R07, 2 кольца Z11;322192.00;8
Мультипак;MP110a (5x114,3 Renault Laguna);Alutec;10 болт R14, 2 кольца Z11;322192.00;12
Мультипак;MP110a (5x114,3 Renault Laguna);Anzio;10 болт R14, 2 кольца Z11;322192.00;>20
Мультипак;MP110 (5x108 Renault);Alutec;10 болт.R15, 2 кольца Z13;322192.00;4
Мультипак;MP111 (5x108 Renault);Alutec;10 болт.R15, 2 кольца Z23;322192.00;12
Мультипак;MP112 (4x114,3 Daewoo Tacuma, Rezzo, Zespi);Alutec;8 гаек D06, 2 кольца Z33;322192.00;4
Мультипак;MP115 (5x108 Volvo XC90);Alutec;2 кольца Z10;322192.00;>20
Мультипак;MP115 (5x108 Volvo XC90);Anzio;2 кольца Z10;322192.00;6
Мультипак;MP117 (5x115 Chrysler 300C);Alutec;10 гаек D13 (M14x1,5x34);322192.00;6
Мультипак;MP132а (5x139,7 Kia Sorento);Alutec;10 гаек D08;322192.00;2
Мультипак;MP133 (5x114,3 Daihatsu);Alutec;10 гаек D6, 2 кольца Z15;322192.00;4
Вставка;Вставка N 25-SCH (Cult);Alutec;dia 56;152428.00;6
Вставка;Вставка N 24-SCH (Cult);Alutec;dia 60;152428.00;4
Вставка;Вставка N 23-M-GRA (Toxic, Xplosive);Alutec;dia 60;66084.00;1
Вставка;Вставка N 23-SCH (Ecstasy, Poison);Alutec;dia 60;66084.00;13
Вставка;Вставка N 23-SWMATT (Poison);Alutec;dia 60;152428.00;2
Вставка;Вставка N 23-GRA (Grip);Alutec;dia 60;66084.00;14
Вставка;Вставка N 23-SHARK;Alutec;dia 60;152428.00;1
Вставка;Вставка N 40-SCH (Toxic);Alutec;dia 60;152428.00;4
Вставка;Вставка N 32-SWMATT  (Poison);Alutec;dia 64;152428.00;7
Вставка;Вставка N 32-SCH (Poison, Poison-Cup, Dynamite);Alutec;dia 64;152428.00;4
Вставка;Вставка N 32-M-GRA  (Xplosiv));Alutec;dia 64;152428.00;6
Вставка;Вставка N 32-GRA  (Grip);Alutec;dia 64;152428.00;8
Вставка;Вставка N 32-SIL (Grip, Poison, Blizz, Dynam, iV);Alutec;dia 64;152428.00;13
Вставка;Вставка N 37 (E);Alutec;dia 68,5;152428.00;3
Эмблема;Эмблема;Protech;MEPP4501 для P1125/P1100;5784.00;2
Эмблема;Эмблема;Protech;MEPP6005;5784.00;8
Эмблема;Эмблема;Protech;MEPP6005 P1349/P1336;5784.00;3
Разное;Кабель BA-4001;;;53137.00;>20
Разное;Клемма для аккумулятора BA-2003;;BA-2003;21559.00;>20
Разное;Клемма для аккумулятора ВА-2005;;ВА-2005;20288.00;>20
Разное;Клемма для аккумулятора зажимная (2шт);HAGEN Беларусь;МАЗ-БОЛТ;41400.00;3
Оборудование;Конвектор КОГ-5;;;1099176.00;1
Запчасти;Трос тяги ремней (к TURBO-2000 MAXIT);Delta;ZDEL-EKT/06-07-000 MAXIT;452314.00;5
Латки;Латка для камер F1, круглая 25мм;Tip Top;500-0029 F1;2110.00;2
Латки;Латка для камер Nr 1, круглая 35мм;Tip Top;500-0043 Nr 1;2638.00;>20
Латки;Латка для камер Nr 2, круглая 45мм;Tip Top;500-0050 Nr 2;4749.00;>20
Латки;Латка для камер Nr 3, круглая 54мм;Tip Top;500-0067 Nr 3;5805.00;>20
Латки;Латка для камер Nr 4, круглая 75мм;Tip Top;500-0081 Nr 4;11611.00;>20
Латки;Латка для камер Nr 6, круглая 116 мм;Tip Top;500-0122 Nr 6;23222.00;>20
Латки;Латка для камер Nr 7, овальная 74х37мм;Tip Top;500-0201 Nr 7;6333.00;>20
Латки;Латка камерная, круглая R - 25мм (уп.100шт.);Maruni;10304 R;140598.00;>20
Латки;Латка камерная, круглая S2 - 30мм (уп.100шт.);Maruni;10306 S2;200677.00;>20
Латки;Латка камерная, круглая M2 - 42мм (уп.50шт.);Maruni;10308 M2;160418.00;6
Латки;Латки овальные О1 (100 шт. в уп.);Rossvik;О1;41505.00;8
Латки;Латки овальные О2 (100 шт. в уп.);Rossvik;О2;63246.00;3
Латки;Латки овальные О3 (50 шт. в уп.);Rossvik;О3;56328.00;1
Латки;Латки овальные О4 (50 шт. в уп.);Rossvik;О4;77080.00;3
Латки;Латка камерная, круглая 40mm (уп.50шт.);Maruni;M2;160418.00;>20
Латки;Латка камерная, круглая L3 - 52мм (уп.30шт.);Maruni;10310 L3;159180.00;>20
Латки;Латка камерная, круглая Q-03 - 61мм (уп.30шт.);Maruni;10314 Q-03;270667.00;1
Латки;Латка камерная, круглая R-03 - 76мм (уп.30шт.);Maruni;10316 R-03;325791.00;1
Латки;Латка камерная, круглая R-04 - 108мм (уп.10шт.);Maruni;10318 R-04;273764.00;1
Латки;Латка камерная, овал L 33х53mm(уп.50 шт.);Maruni;L (01/02/10409);185812.00;>20
Латки;Латка камерная, овал L2 - 41х76мм (уп. 30шт.);Maruni;10411 L2;195722.00;>20
Латки;Латка камерная, овал OV-01 - 41х107mm (уп.30шт.);Maruni;10413 OV-01;229168.00;5
Латки;Латка камерная, овал OV-03 - 66х138мм (уп.10шт.);Maruni;10417 OV-03;353043.00;>20
Латки;Латка камерная, овал OV-05 - 91х159мм (уп.10шт.);Maruni;10420 OV-05;567967.00;15
Латки;Латка для шин GNR-08 - 48x68мм;Maruni;28108 GNR-08;20068.00;>20
Латки;Латка для шин GNR-10 - 56х77мм;Maruni;28110 GNR-10;20624.00;>20
Латки;Латка для шин MTC-10 X (45x65) радиальная гор.вулк;Tip Top;599-1310 MTC-10 X;15306.00;20
Латки;Латка для шин MTC-12 X (56x100) рад. для гор.вулк;Tip Top;599-1327 MTC-12 X;25861.00;20
Латки;Латка для шин GNR-14 - 82х130мм;Maruni;28114 GNR-14;45648.00;>20
Латки;Латка для шин MTC-15 X (61x71) рад. для гор.вулк;Tip Top;599-1458 MTC-15 X;23750.00;20
Латки;Латка для шин GNR-18 - 75х100мм;Maruni;28118 GNR-18;38898.00;>20
Латки;Латка для шин GNR-20 - 85х135мм;Maruni;28120 GNR-20;63795.00;>20
Латки;Латка для шин MTC-20 X (68х113) рад. для гор.вулк;Tip Top;599-1341 MTC-20 X;30084.00;>20
